ticker,close,open,high,low,volume,change_%,value_traded,high_52w,low_52w,market_cap,roe,pe,pb,perf_y,rvol,tarih,dist_from_52w_low,stop_price,target_cup,target_bagger,potansiyel_cup,mcap_milyon,score_base,score_quality,score_flow,score_ignition,quant_score,regime,score_diff,perf_1m,perf_w,sector,industry,oper_margin,tier
MRP,30.78,32.01,32.17,30.71,1460847.0,-3.8725796377264263,44964870.66,35.45,26.3001,4747141097.758275,8.11972623428877,10.734837652146618,0.8733934228764949,-9.44395410414828,1.5409882513974775,2026-09-08,17.0,25.25,35.45,76.95,15.2,4747.1,90.0,55.0,15.4,53.9,0.0,⚠️ ELENDİ (ZOMBİ VEYA PRİMLİ),0.0,6.137931034482762,1.4502307185234056,Finance,Real Estate Development,85.10919172223,
REYN,21.87,21.705,22.05,21.56,2057085.0,0.09153318077803,44988448.95,27.32,20.44,4609998924.775744,15.4777927321669,13.381057268722468,1.9957566217233595,-7.643581081081076,1.2335249965280437,2026-09-08,7.0,19.62,27.32,54.68,24.9,4610.0,90.0,85.0,30.9,43.6,0.0,🪤 DÜŞEN BIÇAK (RÖLATİF ÇÖKÜŞ),0.0,-17.096285064442753,-5.529157667386599,Consumer Non-Durables,Household/Personal Care,14.131008980454302,
KRG,26.08,25.85,26.1,25.85,1725836.0,0.4622496147919778,45009802.88,29.92,21.33,5225047986.841293,10.9040826829281,16.669862575902844,1.8210840757090565,13.096270598438853,0.881796603942966,2026-09-08,22.3,20.48,29.92,65.2,14.7,5225.0,90.0,55.0,67.6,33.2,0.0,⚠️ ELENDİ (ZOMBİ VEYA PRİMLİ),0.0,-2.7228646027601657,0.6561173292165116,Finance,Real Estate Investment Trusts,23.4226818793494,
SATA,99.89,100.0,100.01,99.89,450858.0,-0.1199880011998845,45036205.62,101.35,79.01,2531146004.0,-137.872221995685,15.0,12.667972059189069,21.817073170731707,1.0429388957604713,2026-09-08,26.4,75.85,101.35,249.72,1.5,2531.1,65.0,55.0,10.4,36.5,0.0,⚠️ SAHTE KÂR (FAALİYET KÂRI YETERSİZ),0.0,1.0214401294498434,-0.1000100010000943,Finance,Financial Conglomerates,-14415.5789473684,
AESI,13.99,13.82,14.42,13.67,3236073.0,3.93759286775631,45272661.27,20.13,7.6417,1748798355.925706,-9.92520759474453,15.0,1.5712339521307124,27.879341864716643,1.1647010680024676,2026-09-08,83.1,7.34,20.13,34.98,43.9,1748.8,20.0,55.0,11.6,60.5,0.0,⚠️ SAHTE KÂR (FAALİYET KÂRI YETERSİZ),0.0,30.0185873605948,7.120980091883611,Industrial Services,Oilfield Services/Equipment,-9.39067469310847,
WLTH,9.63,9.65,9.85,9.5,4701335.0,0.5219206680584626,45273856.05,14.75,7.2,1438348550.0073068,12.0,15.0,2.343664439820392,-33.79168099003093,3.7431863496254776,2026-09-08,33.7,6.91,14.75,24.08,53.2,1438.3,65.0,55.0,30.0,100.0,0.0,⚠️ SAHTE KÂR (FAALİYET KÂRI YETERSİZ),0.0,-0.8238928939237906,6.057268722466969,Technology Services,Packaged Software,-34.8433671282581,
MEOH,60.39,59.52,60.47,58.12,750710.0,2.8440054495912834,45335376.9,66.75,32.0,4672028007.463414,3.37041195546747,54.840333716916,1.8231000282450995,55.76476657209181,1.56184269601208,2026-09-08,88.7,30.72,66.75,150.97,10.5,4672.0,20.0,30.0,80.9,68.9,0.0,⚠️ ELENDİ (ZOMBİ VEYA PRİMLİ),0.0,11.564751524108624,2.2000338466745597,Process Industries,Chemicals: Specialty,17.3814027669945,
TRMD,34.94,35.52,35.579,34.5,1298613.0,-0.6822057987492951,45373538.22,35.579,19.3,3560260737.5975823,26.6639628552417,5.888678348132623,1.407996895078477,49.95708154506437,1.3231129501873238,2026-09-08,81.0,18.53,35.58,87.35,1.8,3560.3,20.0,100.0,13.2,46.3,0.0,⚠️ ELENDİ (ZOMBİ VEYA PRİMLİ),0.0,18.200270635994585,5.878787878787872,Transportation,Marine Shipping,39.0870327379012,
NCNO,22.14,22.96,23.09,21.925,2053388.0,-4.238754325259517,45462010.32,31.925,13.8,2340999011.2188582,3.38227669695216,73.38415644680146,2.503202493705248,-26.371799135350848,0.6299281103457416,2026-09-08,60.4,13.25,31.93,55.35,44.2,2341.0,20.0,30.0,10.0,22.0,0.0,⚠️ ELENDİ (ZOMBİ VEYA PRİMLİ),0.0,15.67398119122257,-0.0451467268622935,Technology Services,Packaged Software,8.76649674404253,
SBRA,20.81,20.66,20.945,20.59,2392762.0,0.1443695861405081,49793377.22,22.77,17.165,5316180071.852261,2.39613723973895,80.0076893502499,1.9326480063821037,10.33934252386002,1.3844282329947328,2026-09-08,21.2,16.48,22.77,52.02,9.4,5316.2,90.0,30.0,30.6,49.2,0.0,⚠️ ELENDİ (ZOMBİ VEYA PRİMLİ),0.0,-0.478240076518419,1.2159533073929962,Finance,Real Estate Investment Trusts,18.796699059437,
